accession	gene	source_species	outdir_name
P27716	ogre	Drosophila_melanogaster	dmel_ogre_inx1
Q9V427	Inx2	Drosophila_melanogaster	dmel_inx2
Q9VAS7	Inx3	Drosophila_melanogaster	dmel_inx3
Q9VWL5	Inx5	Drosophila_melanogaster	dmel_inx5
Q9VR82	Inx6	Drosophila_melanogaster	dmel_inx6
Q9V3W6	Inx7	Drosophila_melanogaster	dmel_inx7
P33085	shakB	Drosophila_melanogaster	dmel_shakB
Q9VRX6	zpg	Drosophila_melanogaster	dmel_zpg
Q9XYN0	inx1	Schistocerca_americana	schisto_inx1
Q9U3K5	inx-2	Caenorhabditis_elegans	cele_inx-2
Q19746	inx-3	Caenorhabditis_elegans	cele_inx-3
Q23027	inx-5	Caenorhabditis_elegans	cele_inx-5
Q9U3N4	inx-6	Caenorhabditis_elegans	cele_inx-6
Q21123	inx-7	Caenorhabditis_elegans	cele_inx-7
Q23593	inx-8	Caenorhabditis_elegans	cele_inx-8
Q22549	inx-10	Caenorhabditis_elegans	cele_inx-10
Q23157	inx-11	Caenorhabditis_elegans	cele_inx-11
O01634	inx-12	Caenorhabditis_elegans	cele_inx-12
O62136	inx-14	Caenorhabditis_elegans	cele_inx-14
O61787	inx-16	Caenorhabditis_elegans	cele_inx-16
O61788	inx-17	Caenorhabditis_elegans	cele_inx-17
O61715	inx-19	Caenorhabditis_elegans	cele_inx-19
Q03412	unc-7	Caenorhabditis_elegans	cele_unc-7
O01393	unc-9	Caenorhabditis_elegans	cele_unc-9
Q27295	eat-5	Caenorhabditis_elegans	cele_eat-5
