seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
CP157589.1,1945697,1946960,+,0.4862,361,8,0,present,sp|Q9XYN1|INX2_SCHAM 1 359,3,2,pass,4
CP157589.1,2915530,2916757,-,0.4501,370,10,0,present,sp|Q9V427|INX2_DROME 1 367,4,2,pass,4
CP157589.1,2921666,2922322,+,0.4115,193,7,0,fragmentary,sp|Q9VAS7|INX3_DROME 45 252,,,unresolved,0
CP157589.1,12294067,12295224,+,0.3479,386,13,0,present,sp|P33085|SHAKB_DROME 1 354,,,unresolved,0
CP157589.1,12771188,12772495,+,0.4439,372,14,0,present,sp|P33085|SHAKB_DROME 1 372,4,2,pass,4
CP157589.1,14051685,14059085,+,0.4676,368,14,0,present,sp|P33085|SHAKB_DROME 1 368,2,2,pass,4
CP157589.1,15871918,15873051,+,0.4298,362,12,0,present,sp|P27716|INX1_DROME 1 362,2,2,pass,4
CP157589.1,16060457,16060891,-,0.5685,145,2,0,weak,candidate_inx_008 49 194,,,unresolved,3
CP157590.1,242827,243906,+,0.4022,360,9,0,present,sp|P27716|INX1_DROME 1 362,3,2,pass,4
CP157590.1,783508,783942,-,0.5685,145,1,0,weak,candidate_inx_008 49 194,,,unresolved,3
CP157590.1,6550447,6550881,+,0.5616,145,2,0,weak,candidate_inx_008 49 194,,,unresolved,3
CP157590.1,13739462,13740535,-,0.3611,358,12,0,present,sp|Q1DH70|SHAKB_AEDAE 1 356,,,unresolved,0
