query,target,pident,alnlen,evalue,bits
panx|Latimeria_chalumnae|PANX3|H3AKW8,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,23.8,126,5.069e-06,42.0
panx|Latimeria_chalumnae|PANX3|H3AKW8,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,26.5,103,6.705e-06,41.0
panx|Latimeria_chalumnae|PANX3|H3AKW8,cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,26.5,103,6.705e-06,41.0
panx|Latimeria_chalumnae|PANX3|H3AKW8,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,23.5,126,8.868e-06,41.0
panx|Latimeria_chalumnae|PANX3|H3AKW8,cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,25.9,106,8.868e-06,41.0
panx|Latimeria_chalumnae|PANX3|H3AKW8,cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,26.1,103,1.173e-05,40.0
panx|Latimeria_chalumnae|PANX3|H3AKW8,cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,26.2,98,3.589e-05,39.0
panx|Bos_taurus|PANX1|A0A4W2C374,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,28.1,105,2.657e-07,46.0
panx|Bos_taurus|PANX1|A0A4W2C374,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,27.9,105,3.513e-07,46.0
panx|Bos_taurus|PANX1|A0A4W2C374,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,31.0,88,4.645e-07,45.0
panx|Bos_taurus|PANX1|A0A4W2C374,cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,31.0,88,4.645e-07,45.0
panx|Bos_taurus|PANX1|A0A4W2C374,cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,31.0,88,4.645e-07,45.0
panx|Bos_taurus|PANX1|A0A4W2C374,cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,31.0,88,4.645e-07,45.0
panx|Bos_taurus|PANX1|A0A4W2C374,cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,29.0,91,3.28e-06,42.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Streblospio_benedicti|CM032660.1_38859841_38860992|p4,30.3,105,1.034e-08,51.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Streblospio_benedicti|CM032660.1_38854181_38855281|p9,30.1,105,1.364e-08,51.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Abra_alba|OZ409525.1_47319987_47324644|p7,29.5,106,3.129e-08,50.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,29.7,104,4.127e-08,49.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,29.4,104,7.179e-08,49.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,29.4,104,7.179e-08,49.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,29.4,104,7.179e-08,49.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthochitona_discrepans|CM108789.1_13668655_13669749|p2,29.9,99,1.249e-07,48.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Abra_segmentum|OZ251777.1_32509668_32513297|p8,28.7,106,1.249e-07,48.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Brachionus_manjavacas|JAHQIY010000004.1_8292265_8293444|p4,26.8,118,1.647e-07,48.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Streblospio_benedicti|CM032666.1_530575_537250|p2,29.2,101,2.172e-07,47.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,28.7,104,2.172e-07,47.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Streblospio_benedicti|CM032660.1_38866392_38867486|p10,28.4,105,2.864e-07,47.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,29.4,99,2.864e-07,47.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5,26.1,118,6.569e-07,46.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthocardia_echinata|OZ377328.1_11251456_11255941|p4,24.7,130,6.569e-07,46.0
panx|Bos_taurus|PANX2|A0A4W2C073,Caenorhabditis_elegans,28.8,99,8.663e-07,45.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,27.5,107,8.663e-07,45.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6,29.0,97,1.142e-06,45.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthochitona_discrepans|CM108789.1_17930773_17931897|p3,27.4,105,1.506e-06,44.0
