source,species_dir,organism,clade,candidate_id,gene_label,reference_type,subfamily,protein_length,exon_count,tm_helix_count,reference_identity,best_reference_hit,rank_category,discovery_batch
reference_db,Aedes_aegypti,Aedes aegypti,Reference insect,shakB__Q1DH70,shakB,shakB,SF1_shakB,372,,,1.0,shakB|Q1DH70,reference,reference_db
reference_db,Anopheles_gambiae,Anopheles gambiae,Reference insect,ZPG__Q7Q5R9,ZPG,Inx4/zpg,SF4_Inx2_expansion,386,,,1.0,ZPG|Q7Q5R9,reference,reference_db
reference_db,Anopheles_gambiae,Anopheles gambiae,Reference insect,shakB__Q7PXN1,shakB,shakB,SF1_shakB,373,,,1.0,shakB|Q7PXN1,reference,reference_db
reference_db,Caenorhabditis_briggsae,Caenorhabditis briggsae,Reference nematode,inx-19__A8WVX4,inx-19,other/unknown,unassigned,439,,,1.0,inx-19|A8WVX4,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,eat-5__Q27295,eat-5,other nematode,SF3_Inx3_Inx7_nematode,423,,,1.0,eat-5|Q27295,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-10__Q22549,inx-10,other/unknown,unassigned,559,,,1.0,inx-10|Q22549,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-11__Q23157,inx-11,other/unknown,unassigned,465,,,1.0,inx-11|Q23157,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-12__O01634,inx-12,other/unknown,unassigned,408,,,1.0,inx-12|O01634,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-14__O62136,inx-14,other/unknown,unassigned,434,,,1.0,inx-14|O62136,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-16__O61787,inx-16,other/unknown,unassigned,372,,,1.0,inx-16|O61787,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-17__O61788,inx-17,other/unknown,unassigned,362,,,1.0,inx-17|O61788,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-19__O61715,inx-19,other/unknown,unassigned,454,,,1.0,inx-19|O61715,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-2__Q9U3K5,inx-2,other/unknown,unassigned,419,,,1.0,inx-2|Q9U3K5,reference,reference_db
